gt_uid,annotation_uid,image_id,fold,source_group,coarse,class_name,category_id,gt_bbox_xyxy,gt_short_edge,size_bin,m3_proposal_uid,m3_score,m3_bbox_xyxy,iou
ann_8649c666c4f6,ann_8649c666c4f6,1279,2,scene_L1A0003513249,ship,ship,3,"[602.0, 276.0, 681.0, 356.0]",79.0,small,m3-f2-i1279-p126301,0.4973,"[601.79, 274.87, 680.33, 355.8]",0.9728
ann_2fcfb23a7fc9,ann_2fcfb23a7fc9,608,2,scene_L00000100050,ship,ship,2,"[116.0, 158.0, 262.0, 223.0]",65.0,small,m3-f2-i608-p076201,0.4907,"[107.1, 167.27, 259.87, 213.92]",0.6777
ann_811a77ba68c5,ann_811a77ba68c5,229,2,scene_L00000012444,ship,ship,2,"[389.0, 391.0, 475.0, 567.0]",86.0,small,m3-f2-i229-p014403,0.4753,"[388.73, 391.86, 471.9, 565.18]",0.9463
ann_fcd2ba8c9bdd,ann_fcd2ba8c9bdd,4413,0,scene_L1A0000704021,ship,ship,2,"[582.0, 212.0, 653.0, 498.0]",71.0,small,m3-f0-i4413-p444907,0.4517,"[577.22, 181.59, 657.52, 505.02]",0.7819
ann_ab49fd6aa9cf,ann_ab49fd6aa9cf,1265,0,scene_L1A0002135991,ship,ship,1,"[257.0, 92.0, 471.0, 278.0]",186.0,medium,m3-f0-i1265-p120005,0.426,"[255.58, 95.71, 460.23, 278.54]",0.9222
ann_e908dbbc0c86,ann_e908dbbc0c86,434,2,scene_L00000101101,ship,ship,2,"[210.0, 810.0, 306.0, 879.0]",69.0,small,m3-f2-i434-p051305,0.354,"[191.85, 801.74, 314.17, 879.0]",0.7009
ann_6acc54b30f3f,ann_6acc54b30f3f,423,2,scene_L00000101101,ship,ship,2,"[107.0, 457.0, 257.0, 508.0]",51.0,small,m3-f2-i423-p048001,0.3525,"[104.24, 444.13, 259.13, 513.71]",0.7098
ann_c2a3b1073bf2,ann_c2a3b1073bf2,731,1,scene_L00000000227,ship,ship,3,"[99.0, 528.0, 291.0, 628.0]",100.0,medium,m3-f1-i731-p063303,0.3357,"[98.3, 536.07, 291.61, 628.52]",0.9089
ann_83daeaf52aeb,ann_83daeaf52aeb,233,1,scene_L00000012445,ship,ship,3,"[469.0, 391.0, 500.0, 484.0]",31.0,tiny,m3-f1-i233-p012300,0.3269,"[465.84, 385.74, 508.03, 484.01]",0.6953
ann_dc1102daf099,ann_dc1102daf099,926,0,scene_L00000001337,ship,ship,3,"[435.0, 299.0, 637.0, 496.0]",197.0,medium,m3-f0-i926-p097502,0.2898,"[432.97, 302.5, 641.18, 509.57]",0.892
ann_df9056983a17,ann_df9056983a17,747,0,scene_L00000000285,ship,ship,2,"[210.0, 281.0, 319.0, 365.0]",84.0,small,m3-f0-i747-p072302,0.2693,"[211.19, 273.2, 316.26, 376.64]",0.7881
ann_67f604a8cc66,ann_67f604a8cc66,1222,2,scene_L1A0003133739,ship,ship,3,"[479.0, 377.0, 581.0, 585.0]",102.0,medium,m3-f2-i1222-p118804,0.2306,"[478.75, 374.79, 584.1, 572.5]",0.9022
ann_0ae45a691abd,ann_0ae45a691abd,4387,0,scene_L1A0000600031,ship,ship,2,"[541.0, 249.0, 684.0, 404.0]",143.0,medium,m3-f0-i4387-p441001,0.2158,"[539.21, 249.93, 682.2, 405.11]",0.9626
ann_c6cc47359a1c,ann_c6cc47359a1c,1216,2,scene_L1A0003133739,ship,ship,3,"[50.0, 315.0, 128.0, 473.0]",78.0,small,m3-f2-i1216-p117006,0.1943,"[46.94, 321.45, 120.85, 464.43]",0.7938
ann_f0bf5c3c968c,ann_f0bf5c3c968c,4395,2,scene_L1A0001690055,ship,ship,2,"[9.0, 348.0, 237.0, 454.0]",106.0,medium,m3-f2-i4395-p398742,0.1919,"[2.52, 374.62, 233.49, 479.19]",0.5843
ann_c2579554fa80,ann_c2579554fa80,4407,0,scene_L1A0000704021,ship,ship,2,"[597.0, 481.0, 671.0, 798.0]",74.0,small,m3-f0-i4407-p443105,0.1884,"[594.2, 474.35, 674.38, 794.24]",0.894
ann_ca26a6bdf5ac,ann_ca26a6bdf5ac,4392,2,scene_L1A0001690055,ship,ship,2,"[274.0, 536.0, 463.0, 625.0]",89.0,small,m3-f2-i4392-p397813,0.1837,"[295.95, 543.31, 461.92, 622.95]",0.7858
ann_ead1766dcc4b,ann_ead1766dcc4b,116,0,scene_L00000012440,ship,ship,3,"[815.0, 66.0, 847.0, 200.0]",32.0,tiny,m3-f0-i116-p013204,0.1697,"[804.87, 67.72, 846.95, 183.11]",0.6755
ann_50f62edb8693,ann_50f62edb8693,708,1,scene_L00000000227,ship,ship,2,"[0.0, 97.0, 30.0, 239.0]",30.0,tiny,m3-f1-i708-p056406,0.1687,"[0.0, 109.26, 29.62, 281.42]",0.6966
ann_fa16380b7020,ann_fa16380b7020,4391,0,scene_L1A0000600031,ship,ship,2,"[311.0, 344.0, 451.0, 494.0]",140.0,medium,m3-f0-i4391-p442201,0.1646,"[300.43, 338.66, 445.03, 493.28]",0.8568
ann_7262483a4a6c,ann_7262483a4a6c,444,0,scene_L00000101102,ship,ship,2,"[112.0, 0.0, 269.0, 31.0]",31.0,tiny,m3-f0-i444-p046208,0.1592,"[69.43, 0.05, 253.05, 27.14]",0.6346
ann_db9eb283dceb,ann_db9eb283dceb,1100,1,scene_L1A0001910573,ship,ship,3,"[180.0, 664.0, 226.0, 791.0]",46.0,small,m3-f1-i1100-p113720,0.151,"[182.76, 662.1, 222.65, 793.04]",0.8444
ann_b16d6e237d96,ann_b16d6e237d96,1208,2,scene_L1A0004517353,ship,ship,2,"[0.0, 408.0, 32.0, 439.0]",31.0,tiny,m3-f2-i1208-p114617,0.1449,"[0.0, 401.65, 24.24, 441.32]",0.625
ann_7c0869f22649,ann_7c0869f22649,4407,0,scene_L1A0000704021,ship,ship,2,"[672.0, 499.0, 747.0, 838.0]",75.0,small,m3-f0-i4407-p443106,0.135,"[673.44, 484.45, 735.73, 848.95]",0.7817
ann_211c4d64763c,ann_211c4d64763c,4379,0,scene_L1A0000600031,ship,ship,2,"[43.0, 121.0, 180.0, 285.0]",137.0,medium,m3-f0-i4379-p438602,0.1302,"[31.7, 122.66, 177.7, 277.24]",0.8599
ann_5452a3ad75f9,ann_5452a3ad75f9,1275,0,scene_L1A0002135991,ship,ship,2,"[623.0, 798.0, 733.0, 879.0]",81.0,small,m3-f0-i1275-p123014,0.1279,"[617.62, 790.8, 740.37, 877.93]",0.8131
ann_fd53a323a1bb,ann_fd53a323a1bb,566,2,scene_L00000100047,ship,ship,3,"[242.0, 404.0, 394.0, 720.0]",152.0,medium,m3-f2-i566-p063607,0.1239,"[241.61, 383.08, 395.34, 717.98]",0.9215
