gt_uid,image_id,fold,source_group,coarse,class_name,category_id,gt_bbox_xyxy,gt_short_edge,size_bin,m3_proposal_uid,m3_score,m3_bbox_xyxy,iou
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[728.0, 770.0, 819.0, 818.0]",48.0,small,m3-f1-i4450-p479415,0.0748,"[722.6, 771.6, 818.12, 819.22]",0.8831
i4419-gt,4419,2,site_N23.00-E120.33,vehicle,vehicle,24,"[342.0, 322.0, 369.0, 346.0]",24.0,tiny,m3-f2-i4419-p402952,0.0739,"[341.58, 320.41, 372.97, 345.8]",0.8008
i4445-gt,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[126.0, 220.0, 144.0, 232.0]",12.0,tiny,m3-f2-i4445-p405311,0.0667,"[127.81, 223.21, 144.78, 234.46]",0.538
i4434-gt,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[562.0, 266.0, 590.0, 332.0]",28.0,tiny,m3-f0-i4434-p448539,0.0644,"[563.5, 282.6, 585.23, 332.64]",0.5765
i4434-gt,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[543.0, 265.0, 570.0, 331.0]",27.0,tiny,m3-f0-i4434-p448545,0.0577,"[543.47, 284.56, 570.1, 332.43]",0.6751
i4449-gt,4449,1,site_N35.89-E126.62,vehicle,vehicle,24,"[159.0, 761.0, 244.0, 804.0]",43.0,small,m3-f1-i4449-p479145,0.0559,"[159.44, 768.07, 235.63, 801.66]",0.7002
i4469-gt,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[378.0, 331.0, 413.0, 413.0]",35.0,small,m3-f1-i4469-p483028,0.0523,"[381.61, 332.56, 408.09, 407.92]",0.6953
i4434-gt,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[609.0, 325.0, 630.0, 364.0]",21.0,tiny,m3-f0-i4434-p448562,0.0497,"[610.3, 327.05, 633.35, 360.69]",0.7114
i4477-gt,4477,0,site_N24.21-E120.59,vehicle,vehicle,24,"[539.0, 124.0, 592.0, 162.0]",38.0,small,m3-f0-i4477-p451540,0.0475,"[543.0, 123.27, 574.09, 168.31]",0.5291
i4469-gt,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[366.0, 610.0, 388.0, 642.0]",22.0,tiny,m3-f1-i4469-p483042,0.0452,"[366.13, 609.21, 386.65, 642.36]",0.9023
i4434-gt,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[523.0, 258.0, 551.0, 324.0]",28.0,tiny,m3-f0-i4434-p448618,0.0375,"[525.17, 273.33, 554.12, 318.62]",0.588
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[326.0, 44.0, 375.0, 134.0]",49.0,small,m3-f1-i4450-p479447,0.0359,"[326.23, 42.19, 380.42, 135.9]",0.861
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[438.0, 88.0, 490.0, 185.0]",52.0,small,m3-f1-i4451-p479725,0.0351,"[446.17, 87.7, 491.62, 179.27]",0.7684
i4463-gt,4463,0,site_N36.03-E128.13,vehicle,vehicle,24,"[368.0, 201.0, 405.0, 267.0]",37.0,small,m3-f0-i4463-p449415,0.0324,"[368.67, 200.91, 403.88, 262.27]",0.8824
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[767.0, 480.0, 810.0, 546.0]",43.0,small,m3-f1-i4451-p479734,0.0321,"[766.65, 473.73, 818.01, 541.41]",0.7188
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[479.0, 292.0, 528.0, 382.0]",49.0,small,m3-f1-i4451-p479736,0.0316,"[482.23, 297.89, 521.48, 382.38]",0.746
i4469-gt,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[452.0, 105.0, 479.0, 141.0]",27.0,tiny,m3-f1-i4469-p483096,0.0313,"[452.37, 104.81, 476.63, 137.77]",0.8142
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[614.0, 232.0, 657.0, 298.0]",43.0,small,m3-f1-i4450-p479471,0.0307,"[610.13, 224.84, 662.53, 296.36]",0.7247
i4434-gt,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[579.0, 270.0, 607.0, 336.0]",28.0,tiny,m3-f0-i4434-p448678,0.0295,"[573.76, 282.58, 604.85, 337.05]",0.6392
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[733.0, 813.0, 776.0, 879.0]",43.0,small,m3-f1-i4450-p479491,0.0266,"[730.43, 816.31, 777.78, 877.34]",0.8456
i4469-gt,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[184.0, 839.0, 239.0, 856.0]",17.0,tiny,m3-f1-i4469-p483133,0.0266,"[188.42, 838.94, 231.26, 855.59]",0.7582
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[790.0, 799.0, 833.0, 865.0]",43.0,small,m3-f1-i4450-p479497,0.026,"[789.01, 800.05, 828.18, 860.2]",0.7925
i4434-gt,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[506.0, 252.0, 535.0, 318.0]",29.0,tiny,m3-f0-i4434-p448691,0.0259,"[511.3, 269.98, 546.9, 314.94]",0.435
i4468-gt,4468,1,site_N22.33-E120.62,vehicle,vehicle,24,"[546.0, 667.0, 579.0, 703.0]",33.0,small,m3-f1-i4468-p482915,0.0251,"[544.83, 664.21, 587.21, 731.5]",0.4166
i4445-gt,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[75.0, 228.0, 101.0, 243.0]",15.0,tiny,m3-f2-i4445-p405330,0.025,"[77.24, 234.39, 98.65, 246.63]",0.3943
i4466-gt,4466,1,site_N22.33-E120.62,vehicle,vehicle,24,"[24.0, 355.0, 81.0, 405.0]",50.0,small,m3-f1-i4466-p482374,0.024,"[28.36, 359.34, 78.04, 411.47]",0.7155
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[291.0, 285.0, 334.0, 352.0]",43.0,small,m3-f1-i4450-p479507,0.024,"[290.27, 288.89, 333.75, 352.72]",0.9122
i4462-gt,4462,0,site_N36.03-E128.13,vehicle,vehicle,24,"[715.0, 125.0, 752.0, 191.0]",37.0,small,m3-f0-i4462-p449133,0.0237,"[715.51, 127.74, 749.62, 189.98]",0.8694
i4435-gt,4435,0,site_N25.02-E121.33,vehicle,vehicle,24,"[289.0, 204.0, 319.0, 224.0]",20.0,tiny,m3-f0-i4435-p449038,0.0224,"[284.89, 201.89, 318.92, 224.38]",0.78
i4477-gt,4477,0,site_N24.21-E120.59,vehicle,vehicle,24,"[545.0, 546.0, 595.0, 591.0]",45.0,small,m3-f0-i4477-p451642,0.0219,"[543.71, 551.84, 593.59, 591.61]",0.8163
i4447-gt,4447,2,site_N35.84-E139.41,vehicle,vehicle,24,"[168.0, 97.0, 208.0, 180.0]",40.0,small,m3-f2-i4447-p406046,0.0205,"[169.65, 113.49, 195.54, 184.24]",0.502
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[642.0, 472.0, 690.0, 566.0]",48.0,small,m3-f1-i4451-p479793,0.0199,"[645.25, 472.22, 693.32, 560.49]",0.822
i4460-gt,4460,1,site_N26.20-E127.66,vehicle,vehicle,24,"[342.0, 382.0, 363.0, 408.0]",21.0,tiny,m3-f1-i4460-p481359,0.017,"[340.41, 374.32, 364.91, 409.67]",0.6305
i4460-gt,4460,1,site_N26.20-E127.66,vehicle,vehicle,24,"[303.0, 367.0, 337.0, 414.0]",34.0,small,m3-f1-i4460-p481361,0.0167,"[285.36, 356.85, 340.43, 410.44]",0.4807
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[730.0, 276.0, 773.0, 342.0]",43.0,small,m3-f1-i4451-p479821,0.0153,"[723.61, 251.34, 774.04, 334.89]",0.5604
i4481-gt,4481,2,site_N25.20-E121.42,vehicle,vehicle,24,"[69.0, 779.0, 113.0, 807.0]",28.0,tiny,m3-f2-i4481-p408028,0.0146,"[59.52, 762.96, 115.82, 805.01]",0.4661
i4445-gt,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[331.0, 527.0, 356.0, 567.0]",25.0,tiny,m3-f2-i4445-p405377,0.0145,"[330.57, 526.89, 356.24, 568.19]",0.9432
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[489.0, 224.0, 537.0, 318.0]",48.0,small,m3-f1-i4450-p479612,0.0141,"[485.76, 222.72, 543.44, 312.53]",0.7808
i4450-gt,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[454.0, 45.0, 497.0, 111.0]",43.0,small,m3-f1-i4450-p479630,0.0134,"[452.09, 34.8, 497.13, 95.5]",0.6385
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[568.0, 99.0, 610.0, 172.0]",42.0,small,m3-f1-i4451-p479846,0.0127,"[562.9, 73.94, 611.32, 144.36]",0.4168
i4445-gt,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[401.0, 492.0, 426.0, 532.0]",25.0,tiny,m3-f2-i4445-p405409,0.012,"[400.23, 490.25, 425.33, 531.91]",0.9036
i4463-gt,4463,0,site_N36.03-E128.13,vehicle,vehicle,24,"[13.0, 180.0, 61.0, 259.0]",48.0,small,m3-f0-i4463-p449573,0.0095,"[9.98, 175.62, 46.6, 245.38]",0.5293
i651-gt,651,0,scene_L00000000225,ship,ship,3,"[110.0, 387.0, 210.0, 651.0]",100.0,medium,m3-f0-i651-p061800,0.9321,"[112.8, 385.28, 200.46, 652.77]",0.8665
i4398-gt,4398,2,scene_L1A0001690055,ship,ship,2,"[82.0, 62.0, 378.0, 261.0]",199.0,medium,m3-f2-i4398-p399600,0.9243,"[82.08, 73.58, 340.23, 264.74]",0.8081
i4393-gt,4393,2,scene_L1A0001690055,ship,ship,2,"[384.0, 457.0, 573.0, 692.0]",189.0,medium,m3-f2-i4393-p398101,0.8994,"[377.44, 460.94, 582.71, 689.06]",0.8959
i8-gt,8,0,scene_L00000010882,ship,ship,2,"[350.0, 25.0, 464.0, 171.0]",114.0,medium,m3-f0-i8-p001802,0.8921,"[352.04, 24.46, 467.47, 168.9]",0.9364
i43-gt,43,1,scene_L00000010815,ship,ship,3,"[220.0, 135.0, 497.0, 349.0]",214.0,medium,m3-f1-i43-p003900,0.8901,"[220.72, 138.8, 521.28, 386.64]",0.7672
i850-gt,850,0,scene_L00000000683,ship,ship,3,"[441.0, 263.0, 558.0, 430.0]",117.0,medium,m3-f0-i850-p092100,0.8853,"[444.11, 266.58, 556.64, 424.34]",0.9086
i439-gt,439,2,scene_L00000101101,ship,ship,2,"[517.0, 5.0, 656.0, 170.0]",139.0,medium,m3-f2-i439-p052803,0.8726,"[514.02, 2.82, 655.15, 166.44]",0.9401
i441-gt,441,2,scene_L00000101101,ship,ship,2,"[618.0, 608.0, 757.0, 773.0]",139.0,medium,m3-f2-i441-p053401,0.8628,"[614.15, 608.94, 756.79, 771.6]",0.9581
i1146-gt,1146,2,scene_L1A0003117760,ship,ship,2,"[785.0, 654.0, 868.0, 865.0]",83.0,small,m3-f2-i1146-p110103,0.856,"[788.43, 654.66, 867.89, 866.89]",0.9464
i1286-gt,1286,0,scene_L1A0003910727,ship,ship,2,"[534.0, 417.0, 655.0, 663.0]",121.0,medium,m3-f0-i1286-p125400,0.8525,"[532.29, 415.56, 655.14, 654.94]",0.9476
i158-gt,158,0,scene_L00000012443,ship,ship,2,"[497.0, 333.0, 630.0, 441.0]",108.0,medium,m3-f0-i158-p024300,0.8467,"[502.1, 335.13, 622.47, 435.4]",0.8403
i37-gt,37,1,scene_L00000010574,ship,ship,3,"[174.0, 196.0, 456.0, 419.0]",223.0,medium,m3-f1-i37-p002400,0.8247,"[170.35, 208.18, 475.5, 452.3]",0.7629
i1288-gt,1288,0,scene_L1A0003910727,ship,ship,2,"[28.0, 45.0, 169.0, 291.0]",141.0,medium,m3-f0-i1288-p126001,0.8232,"[32.75, 47.73, 161.54, 287.83]",0.8914
i1251-gt,1251,2,scene_L1A0002115142,ship,ship,2,"[796.0, 113.0, 850.0, 249.0]",54.0,small,m3-f2-i1251-p124204,0.8174,"[794.15, 130.32, 850.0, 250.06]",0.8407
i1287-gt,1287,0,scene_L1A0003910727,ship,ship,2,"[194.0, 507.0, 335.0, 753.0]",141.0,medium,m3-f0-i1287-p125700,0.8135,"[199.86, 509.91, 325.02, 753.38]",0.8759
i1281-gt,1281,0,scene_L1A0003883169,ship,ship,2,"[305.0, 155.0, 445.0, 385.0]",140.0,medium,m3-f0-i1281-p123900,0.8101,"[291.19, 151.32, 456.85, 382.58]",0.8244
i109-gt,109,0,scene_L00000012466,ship,ship,2,"[83.0, 606.0, 219.0, 732.0]",126.0,medium,m3-f0-i109-p011404,0.8018,"[83.54, 606.74, 222.44, 736.33]",0.9339
i927-gt,927,0,scene_L00000001337,ship,ship,3,"[0.0, 348.0, 211.0, 530.0]",182.0,medium,m3-f0-i927-p097802,0.7246,"[0.21, 331.26, 219.69, 530.76]",0.8754
i6-gt,6,0,scene_L00000010882,ship,ship,1,"[369.0, 224.0, 596.0, 487.0]",227.0,medium,m3-f0-i6-p001203,0.7061,"[371.11, 220.82, 591.73, 492.88]",0.9404
i4413-gt,4413,0,scene_L1A0000704021,ship,ship,2,"[655.0, 207.0, 719.0, 550.0]",64.0,small,m3-f0-i4413-p444903,0.6738,"[657.03, 192.95, 718.63, 557.56]",0.9075
i4413-gt,4413,0,scene_L1A0000704021,ship,ship,2,"[702.0, 189.0, 794.0, 555.0]",92.0,small,m3-f0-i4413-p444904,0.6362,"[701.74, 188.55, 777.17, 560.32]",0.8043
i192-gt,192,0,scene_L00000012443,ship,ship,3,"[696.0, 198.0, 761.0, 394.0]",65.0,small,m3-f0-i192-p034500,0.561,"[700.94, 207.56, 771.28, 404.13]",0.7286
i1289-gt,1289,0,scene_L1A0004005129,ship,ship,2,"[335.0, 576.0, 675.0, 746.0]",170.0,medium,m3-f0-i1289-p126301,0.5562,"[327.17, 570.21, 678.54, 743.62]",0.9231
i713-gt,713,1,scene_L00000000227,ship,ship,2,"[4.0, 170.0, 248.0, 416.0]",244.0,medium,m3-f1-i713-p057901,0.5547,"[3.3, 140.9, 240.96, 428.07]",0.833
i1191-gt,1191,1,scene_L1A0002233573,ship,ship,2,"[243.0, 425.0, 326.0, 471.0]",46.0,small,m3-f1-i1191-p130204,0.5215,"[239.66, 426.54, 316.19, 473.02]",0.7897
i4395-gt,4395,2,scene_L1A0001690055,ship,ship,2,"[1158.0, 347.0, 1216.0, 414.0]",58.0,small,m3-f2-i4395-p398716,0.5093,"[1168.11, 344.78, 1216.0, 424.12]",0.7167
i742-gt,742,0,scene_L00000000285,ship,ship,2,"[344.0, 463.0, 497.0, 594.0]",131.0,medium,m3-f0-i742-p070802,0.5078,"[345.62, 464.93, 490.38, 597.89]",0.9068
i1279-gt,1279,2,scene_L1A0003513249,ship,ship,3,"[602.0, 276.0, 681.0, 356.0]",79.0,small,m3-f2-i1279-p126301,0.4973,"[601.79, 274.87, 680.33, 355.8]",0.9728
i608-gt,608,2,scene_L00000100050,ship,ship,2,"[116.0, 158.0, 262.0, 223.0]",65.0,small,m3-f2-i608-p076201,0.4907,"[107.1, 167.27, 259.87, 213.92]",0.6777
i229-gt,229,2,scene_L00000012444,ship,ship,2,"[389.0, 391.0, 475.0, 567.0]",86.0,small,m3-f2-i229-p014403,0.4753,"[388.73, 391.86, 471.9, 565.18]",0.9463
i4413-gt,4413,0,scene_L1A0000704021,ship,ship,2,"[582.0, 212.0, 653.0, 498.0]",71.0,small,m3-f0-i4413-p444907,0.4517,"[577.22, 181.59, 657.52, 505.02]",0.7819
i1265-gt,1265,0,scene_L1A0002135991,ship,ship,1,"[257.0, 92.0, 471.0, 278.0]",186.0,medium,m3-f0-i1265-p120005,0.426,"[255.58, 95.71, 460.23, 278.54]",0.9222
i434-gt,434,2,scene_L00000101101,ship,ship,2,"[210.0, 810.0, 306.0, 879.0]",69.0,small,m3-f2-i434-p051305,0.354,"[191.85, 801.74, 314.17, 879.0]",0.7009
i423-gt,423,2,scene_L00000101101,ship,ship,2,"[107.0, 457.0, 257.0, 508.0]",51.0,small,m3-f2-i423-p048001,0.3525,"[104.24, 444.13, 259.13, 513.71]",0.7098
i731-gt,731,1,scene_L00000000227,ship,ship,3,"[99.0, 528.0, 291.0, 628.0]",100.0,medium,m3-f1-i731-p063303,0.3357,"[98.3, 536.07, 291.61, 628.52]",0.9089
i233-gt,233,1,scene_L00000012445,ship,ship,3,"[469.0, 391.0, 500.0, 484.0]",31.0,tiny,m3-f1-i233-p012300,0.3269,"[465.84, 385.74, 508.03, 484.01]",0.6953
i926-gt,926,0,scene_L00000001337,ship,ship,3,"[435.0, 299.0, 637.0, 496.0]",197.0,medium,m3-f0-i926-p097502,0.2898,"[432.97, 302.5, 641.18, 509.57]",0.892
i747-gt,747,0,scene_L00000000285,ship,ship,2,"[210.0, 281.0, 319.0, 365.0]",84.0,small,m3-f0-i747-p072302,0.2693,"[211.19, 273.2, 316.26, 376.64]",0.7881
i1222-gt,1222,2,scene_L1A0003133739,ship,ship,3,"[479.0, 377.0, 581.0, 585.0]",102.0,medium,m3-f2-i1222-p118804,0.2306,"[478.75, 374.79, 584.1, 572.5]",0.9022
i4387-gt,4387,0,scene_L1A0000600031,ship,ship,2,"[541.0, 249.0, 684.0, 404.0]",143.0,medium,m3-f0-i4387-p441001,0.2158,"[539.21, 249.93, 682.2, 405.11]",0.9626
i1216-gt,1216,2,scene_L1A0003133739,ship,ship,3,"[50.0, 315.0, 128.0, 473.0]",78.0,small,m3-f2-i1216-p117006,0.1943,"[46.94, 321.45, 120.85, 464.43]",0.7938
i4395-gt,4395,2,scene_L1A0001690055,ship,ship,2,"[9.0, 348.0, 237.0, 454.0]",106.0,medium,m3-f2-i4395-p398742,0.1919,"[2.52, 374.62, 233.49, 479.19]",0.5843
i4407-gt,4407,0,scene_L1A0000704021,ship,ship,2,"[597.0, 481.0, 671.0, 798.0]",74.0,small,m3-f0-i4407-p443105,0.1884,"[594.2, 474.35, 674.38, 794.24]",0.894
i4392-gt,4392,2,scene_L1A0001690055,ship,ship,2,"[274.0, 536.0, 463.0, 625.0]",89.0,small,m3-f2-i4392-p397813,0.1837,"[295.95, 543.31, 461.92, 622.95]",0.7858
i116-gt,116,0,scene_L00000012440,ship,ship,3,"[815.0, 66.0, 847.0, 200.0]",32.0,tiny,m3-f0-i116-p013204,0.1697,"[804.87, 67.72, 846.95, 183.11]",0.6755
i708-gt,708,1,scene_L00000000227,ship,ship,2,"[0.0, 97.0, 30.0, 239.0]",30.0,tiny,m3-f1-i708-p056406,0.1687,"[0.0, 109.26, 29.62, 281.42]",0.6966
i4391-gt,4391,0,scene_L1A0000600031,ship,ship,2,"[311.0, 344.0, 451.0, 494.0]",140.0,medium,m3-f0-i4391-p442201,0.1646,"[300.43, 338.66, 445.03, 493.28]",0.8568
i444-gt,444,0,scene_L00000101102,ship,ship,2,"[112.0, 0.0, 269.0, 31.0]",31.0,tiny,m3-f0-i444-p046208,0.1592,"[69.43, 0.05, 253.05, 27.14]",0.6346
i1100-gt,1100,1,scene_L1A0001910573,ship,ship,3,"[180.0, 664.0, 226.0, 791.0]",46.0,small,m3-f1-i1100-p113720,0.151,"[182.76, 662.1, 222.65, 793.04]",0.8444
i1208-gt,1208,2,scene_L1A0004517353,ship,ship,2,"[0.0, 408.0, 32.0, 439.0]",31.0,tiny,m3-f2-i1208-p114617,0.1449,"[0.0, 401.65, 24.24, 441.32]",0.625
i4407-gt,4407,0,scene_L1A0000704021,ship,ship,2,"[672.0, 499.0, 747.0, 838.0]",75.0,small,m3-f0-i4407-p443106,0.135,"[673.44, 484.45, 735.73, 848.95]",0.7817
i4379-gt,4379,0,scene_L1A0000600031,ship,ship,2,"[43.0, 121.0, 180.0, 285.0]",137.0,medium,m3-f0-i4379-p438602,0.1302,"[31.7, 122.66, 177.7, 277.24]",0.8599
i1275-gt,1275,0,scene_L1A0002135991,ship,ship,2,"[623.0, 798.0, 733.0, 879.0]",81.0,small,m3-f0-i1275-p123014,0.1279,"[617.62, 790.8, 740.37, 877.93]",0.8131
i566-gt,566,2,scene_L00000100047,ship,ship,3,"[242.0, 404.0, 394.0, 720.0]",152.0,medium,m3-f2-i566-p063607,0.1239,"[241.61, 383.08, 395.34, 717.98]",0.9215
i31-gt,31,1,scene_L00000011028,ship,ship,3,"[257.0, 557.0, 308.0, 697.0]",51.0,small,m3-f1-i31-p001809,0.1204,"[261.08, 555.49, 315.1, 694.26]",0.7857
i1288-gt,1288,0,scene_L1A0003910727,ship,ship,2,"[413.0, 558.0, 557.0, 788.0]",144.0,medium,m3-f0-i1288-p126004,0.1163,"[395.43, 561.03, 565.75, 788.53]",0.8341
i456-gt,456,0,scene_L00000101102,ship,ship,3,"[-0.0, 586.0, 119.0, 783.0]",119.0,medium,m3-f0-i456-p049840,0.1101,"[0.0, 547.97, 153.62, 822.0]",0.5569
i770-gt,770,0,scene_L00000000286,ship,ship,2,"[624.0, 684.0, 746.0, 866.0]",122.0,medium,m3-f0-i770-p079201,0.108,"[636.5, 690.99, 749.61, 865.95]",0.839
i799-gt,799,0,scene_L00000000286,ship,ship,2,"[224.0, 649.0, 454.0, 798.0]",149.0,medium,m3-f0-i799-p087902,0.1076,"[232.91, 650.3, 458.67, 810.77]",0.8629
i426-gt,426,2,scene_L00000101101,ship,ship,3,"[0.0, 277.0, 22.0, 410.0]",22.0,tiny,m3-f2-i426-p048917,0.0953,"[0.0, 274.44, 23.65, 453.36]",0.6916
i4395-gt,4395,2,scene_L1A0001690055,ship,ship,2,"[14.0, 394.0, 232.0, 495.0]",101.0,medium,m3-f2-i4395-p398779,0.0887,"[0.0, 398.0, 220.88, 480.16]",0.7336
i31-gt,31,1,scene_L00000011028,ship,ship,3,"[396.0, 522.0, 474.0, 629.0]",78.0,small,m3-f1-i31-p001814,0.088,"[393.18, 522.01, 454.86, 641.71]",0.6677
i1246-gt,1246,0,scene_L1A0001053752,ship,ship,3,"[309.0, 370.0, 443.0, 481.0]",111.0,medium,m3-f0-i1246-p117051,0.088,"[290.29, 353.05, 478.04, 508.93]",0.5082
i4393-gt,4393,2,scene_L1A0001690055,ship,ship,2,"[621.0, 266.0, 800.0, 338.0]",72.0,small,m3-f2-i4393-p398179,0.0859,"[629.15, 262.08, 798.97, 354.71]",0.746
i717-gt,717,1,scene_L00000000227,ship,ship,2,"[502.0, 192.0, 573.0, 330.0]",71.0,small,m3-f1-i717-p059121,0.0828,"[502.51, 199.04, 573.29, 327.1]",0.9177
i441-gt,441,2,scene_L00000101101,ship,ship,2,"[523.0, 802.0, 786.0, 820.0]",18.0,tiny,m3-f2-i441-p053416,0.082,"[471.36, 801.43, 787.47, 820.0]",0.8063
i1280-gt,1280,2,scene_L1A0003513249,ship,ship,3,"[680.0, 463.0, 749.0, 601.0]",69.0,small,m3-f2-i1280-p126608,0.0812,"[685.84, 472.08, 743.16, 600.07]",0.7704
i1143-gt,1143,2,scene_L1A0003117760,ship,ship,2,"[671.0, 0.0, 819.0, 69.0]",69.0,small,m3-f2-i1143-p109227,0.0779,"[657.76, 0.35, 888.42, 65.81]",0.6201
i10-gt,10,0,scene_L00000010882,ship,ship,3,"[-0.0, 829.0, 138.0, 884.0]",55.0,small,m3-f0-i10-p002421,0.0739,"[0.49, 795.54, 126.52, 884.0]",0.5871
i39-gt,39,1,scene_L00000010574,ship,ship,1,"[624.0, 297.0, 760.0, 582.0]",136.0,medium,m3-f1-i39-p003025,0.0718,"[631.3, 298.23, 765.16, 587.96]",0.8903
i1154-gt,1154,2,scene_L1A0003826486,ship,ship,2,"[806.0, -0.0, 841.0, 97.0]",35.0,small,m3-f2-i1154-p111908,0.0692,"[808.21, 1.46, 840.94, 63.11]",0.5942
i4398-gt,4398,2,scene_L1A0001690055,ship,ship,2,"[563.0, 773.0, 623.0, 866.0]",60.0,small,m3-f2-i4398-p399662,0.0666,"[557.37, 770.66, 621.54, 870.12]",0.8352
i775-gt,775,0,scene_L00000000286,ship,ship,2,"[684.0, 187.0, 876.0, 280.0]",93.0,small,m3-f0-i775-p080749,0.0632,"[678.39, 187.35, 875.59, 283.05]",0.9354
i1161-gt,1161,0,scene_L1A0004327310,ship,ship,3,"[115.0, 107.0, 264.0, 155.0]",48.0,small,m3-f0-i1161-p113171,0.0609,"[110.78, 104.45, 266.07, 160.69]",0.8189
